Station,Latitude,Longitude,P95 (mm),P99 (mm),RX1day Max (mm),RX5day Max (mm)
Abetifi,6.67,-0.75,22.5,48.52,145.6,208.5
Akatsi,6.13,0.8,17.8,47.5,137.4,217.9
Akim Oda,5.93,-0.98,24.7,51.82,183.0,259.7
Akuse,6.1,0.1,18.8,49.77,177.3,206.5
Axim,4.87,-2.24,30.86,76.61,355.4,581.8
Bole,9.03,-2.48,19.2,45.4,131.5,213.7
Ho,6.6,0.47,22.6,50.78,189.2,278.0
KIAMO-Accra,5.56,-0.2,12.94,45.0,243.9,282.7
Kete-Krachi,7.8,-0.05,23.61,56.58,180.7,389.0
Koforidua,6.1,-0.27,22.2,48.03,219.9,235.9
Kumasi,6.7,-1.6,24.0,51.82,125.2,282.3
Navrongo,10.9,-1.09,19.88,46.94,145.5,245.5
Saltpond,5.21,-1.07,15.8,50.4,214.7,272.6
Sefwi Bekwai,6.2,-2.32,24.7,50.97,154.0,201.7
Sunyani,7.33,-2.33,21.0,46.32,204.0,223.4
Takoradi,4.9,-1.75,19.7,56.02,197.2,444.7
Tamale,9.4,-0.83,19.7,47.55,143.0,197.7
Tema,5.67,-0.02,11.5,42.84,180.4,306.3
Wa,10.05,-2.5,19.4,44.2,142.4,230.4
Wenchi,7.74,-2.1,21.8,46.06,143.3,178.5
Yendi,9.45,-0.01,22.87,49.5,146.9,248.0
