date,Abetifi,Akatsi,Akim Oda,Akuse,Axim,Bole,Ho,KIAMO-Accra,Kete-Krachi,Koforidua,Kumasi,Navrongo,Saltpond,Sefwi Bekwai,Sunyani,Takoradi,Tema,Wa,Wenchi,Yendi
1990-12-31,38,37,29,29,36,43,43,32,41,38,31,33,32,24,35,23,39,33,27,36
1991-12-31,38,37,41,47,31,43,32,40,57,47,35,37,44,32,32,43,43,34,42,42
1992-12-31,30,25,30,25,32,32,22,23,34,29,28,37,22,31,32,30,21,27,38,29
1993-12-31,41,37,35,40,40,39,37,25,29,42,37,29,29,36,35,36,30,41,35,39
1994-12-31,27,33,30,32,46,34,26,31,30,33,32,35,39,40,26,39,34,35,28,33
1995-12-31,44,25,34,41,30,36,46,39,47,37,37,31,37,36,45,43,35,45,41,40
1996-12-31,38,35,40,36,41,36,38,38,36,29,25,43,39,35,43,42,38,41,33,32
1997-12-31,39,42,37,39,27,39,37,48,44,43,40,33,51,33,30,37,48,43,35,41
1998-12-31,28,30,26,29,25,30,30,20,33,26,28,42,18,39,33,23,19,27,29,28
1999-12-31,42,37,44,40,43,42,49,33,40,51,39,48,41,43,41,42,36,43,38,35
2000-12-31,34,30,24,41,25,46,34,23,39,35,41,39,27,33,34,39,21,43,41,40
2001-12-31,27,36,34,28,41,33,28,39,25,28,35,34,40,33,34,37,36,35,30,33
2002-12-31,44,35,48,30,42,45,36,39,50,45,40,37,40,35,43,40,38,34,39,33
2003-12-31,30,38,30,36,41,41,34,36,41,36,38,43,40,32,40,32,34,43,40,46
2004-12-31,46,45,46,41,35,44,39,33,40,32,35,40,36,28,41,34,32,41,38,42
2005-12-31,30,33,33,33,31,39,33,38,38,25,29,30,40,29,33,27,33,34,41,38
2006-12-31,35,36,38,26,28,39,26,44,30,43,28,34,37,32,30,31,39,33,37,34
2007-12-31,39,37,29,46,41,32,40,43,33,36,50,42,37,33,51,40,40,31,39,37
2008-12-31,37,37,37,35,35,36,41,41,45,43,39,36,34,38,43,33,40,43,41,39
2009-12-31,38,35,29,35,29,41,31,30,41,37,40,39,32,37,44,37,35,45,41,50
2010-12-31,40,29,47,36,50,42,38,44,32,33,33,38,45,43,42,45,50,32,41,37
2011-12-31,36,37,42,39,34,32,37,43,36,39,38,33,40,40,31,35,39,34,34,36
2012-12-31,32,33,37,38,29,40,35,40,37,40,38,35,37,33,42,37,33,37,35,38
2013-12-31,35,37,31,34,35,34,39,34,38,36,42,29,34,30,34,27,33,34,39,34
2014-12-31,40,44,38,41,48,32,41,49,35,37,29,25,42,43,42,44,42,30,45,36
2015-12-31,37,41,27,28,23,30,40,43,28,30,36,34,42,36,30,35,35,23,34,27
2016-12-31,34,31,37,40,35,37,36,36,32,36,36,33,31,28,24,24,33,35,39,38
2017-12-31,33,37,45,45,44,31,43,39,44,41,39,35,48,30,35,39,36,25,31,37
2018-12-31,32,45,17,31,26,30,25,23,38,39,41,42,31,50,33,34,28,44,32,37
2019-12-31,35,47,34,40,43,32,41,43,19,35,36,42,41,42,33,37,39,0,39,32
2020-12-31,33,40,30,33,41,27,35,26,36,28,30,41,15,32,38,32,32,41,31,30
2021-12-31,45,39,52,47,43,41,54,25,1,45,51,37,6,46,39,46,39,47,45,36
2022-12-31,42,46,38,39,48,39,39,47,33,32,44,32,11,42,34,44,50,37,45,10
2023-12-31,36,41,54,41,39,36,43,48,38,37,40,44,37,48,40,44,49,38,25,41
2024-12-31,38,32,46,33,30,25,27,36,32,33,32,31,39,44,30,39,43,35,25,34
