date,Abetifi,Akatsi,Akim Oda,Akuse,Axim,Bole,Ho,KIAMO-Accra,Kete-Krachi,Koforidua,Kumasi,Navrongo,Saltpond,Sefwi Bekwai,Sunyani,Takoradi,Tema,Tamale,Wa,Wenchi,Yendi
1990-12-31,3,7,5,4,2,1,2,1,1,2,3,3,0,4,3,2,1,3,3,3,0
1991-12-31,3,4,3,4,2,9,4,4,11,4,3,3,4,2,4,4,3,5,5,6,8
1992-12-31,2,2,2,3,5,2,0,3,3,0,1,4,2,6,2,4,2,0,2,5,2
1993-12-31,3,0,2,1,8,5,1,2,0,3,5,2,1,4,4,4,2,4,6,5,1
1994-12-31,1,4,8,4,2,1,2,2,4,1,0,3,4,2,3,2,1,3,2,1,5
1995-12-31,1,5,1,8,2,3,0,5,7,8,2,2,6,5,6,5,5,5,3,4,5
1996-12-31,4,3,5,9,4,6,6,3,4,4,2,2,6,5,2,6,8,3,2,2,2
1997-12-31,2,3,5,4,5,5,3,7,0,4,3,1,7,5,2,3,10,7,5,3,5
1998-12-31,4,3,6,8,1,3,5,4,1,3,2,2,4,2,1,3,1,4,3,2,6
1999-12-31,4,4,3,2,2,4,9,3,5,3,2,5,4,4,2,3,2,5,4,5,1
2000-12-31,4,4,4,2,4,5,4,2,5,4,3,4,3,3,2,4,0,3,2,4,3
2001-12-31,3,3,2,1,2,2,4,3,3,4,2,5,2,2,5,3,4,4,6,3,2
2002-12-31,3,4,4,2,3,2,6,4,3,5,7,3,3,4,3,2,5,2,3,5,2
2003-12-31,1,1,2,5,3,4,4,4,4,3,2,3,3,6,6,2,5,4,2,4,11
2004-12-31,4,1,4,2,4,3,6,2,4,4,4,2,5,3,5,2,0,3,2,4,5
2005-12-31,2,4,0,4,5,6,3,3,6,5,4,1,4,3,3,3,2,5,4,4,4
2006-12-31,4,5,1,4,3,5,4,3,1,5,1,2,2,4,6,5,3,4,4,1,1
2007-12-31,5,5,1,4,6,4,5,5,0,3,7,4,4,4,4,3,7,5,4,6,3
2008-12-31,4,3,2,3,1,3,5,7,8,4,3,4,6,6,4,5,3,3,7,4,7
2009-12-31,2,4,2,2,4,6,2,2,7,6,6,4,3,4,2,2,1,3,5,1,5
2010-12-31,8,4,5,5,5,6,3,4,3,4,1,7,3,2,5,3,5,6,3,7,4
2011-12-31,3,2,3,3,5,3,3,7,4,4,5,5,7,4,9,1,7,4,1,1,9
2012-12-31,6,0,3,2,2,5,4,1,7,1,6,3,3,5,3,4,3,4,3,3,2
2013-12-31,3,5,2,2,1,6,3,1,4,3,1,3,1,3,4,4,1,4,3,4,1
2014-12-31,6,7,4,5,3,1,5,5,3,4,5,0,7,6,3,2,7,3,3,3,5
2015-12-31,8,3,3,3,4,2,3,3,2,3,3,2,4,2,5,2,3,1,3,1,2
2016-12-31,9,4,0,5,3,5,6,6,5,5,5,4,4,2,2,3,4,5,3,6,4
2017-12-31,4,5,5,4,4,4,3,4,2,8,3,8,4,1,0,10,8,2,4,1,1
2018-12-31,0,1,3,3,1,3,2,2,4,2,5,3,4,5,4,6,3,6,4,4,4
2019-12-31,3,7,7,4,6,3,2,7,4,6,7,9,6,3,4,4,2,5,0,4,2
2020-12-31,2,1,5,5,6,1,6,2,3,1,6,6,0,2,1,4,5,3,5,3,2
2021-12-31,6,4,6,3,4,0,5,0,0,4,7,4,0,2,4,0,2,2,4,4,4
2022-12-31,5,6,4,4,7,3,3,6,3,4,2,5,0,4,5,7,3,4,5,6,0
2023-12-31,2,6,10,3,6,5,5,6,4,4,7,5,4,6,7,5,7,2,6,4,2
2024-12-31,4,3,6,1,2,1,0,4,1,0,3,5,2,3,3,6,3,2,4,5,5
