date,Abetifi,Ada,Akatsi,Akim Oda,Akuse,Axim,Bole,Ho,KIAMO-Accra,Kete-Krachi,Koforidua,Kumasi,Navrongo,Saltpond,Sefwi Bekwai,Sunyani,Takoradi,Tema,Tamale,Wa,Wenchi,Yendi
1/1/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1/2/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/1990,0,,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/1990,0,,0,0.7,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,3,0
1/9/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/1990,0,,0,0,13.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/13/1990,0,,0,0,0,0,0,0,0,0,0,17.3,0,0,18.5,0,0,0,0,0,0,0
1/14/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/1990,0,,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0
1/18/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/1990,0,,0,0,0,0,0,0,0,0,19.5,5.7,0,0,0,0,0,0,0,0,0,0
1/20/1990,0.8,,0,0,1.8,0,0,14.3,0,0,0,10.5,0,0,4.6,0,0,0,0,0,0,0
1/21/1990,0,,22.6,2.5,0,0,0,0.3,9.6,0,0,0,0,0,0,0,0,1.2,0,0,0,0
1/22/1990,0,,0,0,0,23.9,0,0,0,0,0,0,0,7,0,0,0,0.2,0,0,0,0
1/23/1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
